video_id,title,hashtags,tags,published_at,duration
-p28Sn8_W24,オーディション結果が来なくて落ちたと思った白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-05-24T09:00:00Z,PT40S
R9M12e_ud3Y,【晩酌】今夜はヒトコワ集！？お姉さんの一杯飲み終わるまでホロ酔いトーク #いっ杯晩酌 04【白雪 巴/にじさんじ】,#いっ杯晩酌,"雑談, 晩酌",2024-05-20T16:39:42Z,PT3H27M4S
qt19RTcFzqg,邪心を見抜かれて巫女さんのバイトに落ちた白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","ASMR, ロールプレイ",2024-05-17T09:00:47Z,PT40S
nJKAWoFkYN8,白雪巴が”ガチ”であることが証明されてしまう #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-05-12T03:00:25Z,PT58S
9HcXsgJftHc,【#マリカにじさんじ杯】予選Hリーグ。仮免許なら持ってます。【白雪 巴/にじさんじ】,#マリカにじさんじ杯,"企画, 大会, レーシングゲーム, マリオカート8DX, コラボ",2024-05-05T12:42:14Z,PT1H30M24S
F2R9tDKRMrw,上司や先輩に質問するときのタイミングは絶対コレ#shorts #vtuber #切り抜き #にじさんじ #白雪巴  #お悩み相談,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #お悩み相談","雑談, お悩み相談",2024-05-04T03:00:12Z,PT1M
m5P6VsBrykc,生まれ変わったら何したいか正直すぎるよっぱらいお姉さん #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, 晩酌",2024-05-03T03:00:24Z,PT38S
7JENXY4087o,ハニトラには引っかかれbot白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-05-02T03:00:09Z,PT58S
SpEOKABpiV0,ブルアカ冒頭で既に雲行きの怪しい白雪先生 #shorts #vtuber #切り抜き #にじさんじ #白雪巴 #ブルーアーカイブ,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #ブルーアーカイブ","ゲーム実況, RPG, ブルーアーカイブ",2024-04-29T09:00:22Z,PT58S
uwfigqjQ9-g,学生の頃の修学旅行で盛大にやらかした白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, 体験談",2024-04-27T09:00:45Z,PT49S
q8ILp3iyA3k,駄犬リスナーに辛辣な白雪巴(ご主人様) #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, 駄犬",2024-04-26T09:00:47Z,PT57S
YRnMzeI0wXE,誕生日前日のマイクラで下ネタ満載！？になる白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴 #マイクラ #minecraft,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #マイクラ, #minecraft",雑談,2024-04-16T09:00:32Z,PT57S
HSHI6Q4mndg,#ラスト【影廊2】”何処へ”導かれていくのか――「Shadow Corridor 2 雨ノ四葩」を完全初見プレイ【白雪 巴/にじさんじ】,#ラスト【影廊2,"ゲーム実況, 影廊2, ホラー",2024-04-12T18:52:56Z,PT5H39M53S
r_L9n0bB8dM,がんばって清楚系Vtuberを演じようとする白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-04-11T11:00:46Z,PT1M
ZcFJAvV68v0,崩壊：スターレイル初ガチャで豪運を見せる白雪巴 #shorts #vtuber #崩壊スターレイル  #切り抜き #にじさんじ #ゲーム #実況,"#shorts, #vtuber, #崩壊スターレイル, #切り抜き, #にじさんじ, #ゲーム, #実況",雑談,2024-04-09T09:00:32Z,PT1M
lxbQANcqZGE,にじさんじの最終オーディションまで秘密にしていた白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, 体験談",2024-04-06T09:00:36Z,PT43S
eNKSUI-pauM,ブルアカ初日ガチャを存分に楽しみまくる白雪巴 #shorts #vtuber #ブルーアーカイブ #切り抜き #にじさんじ #ゲーム #実況,"#shorts, #vtuber, #ブルーアーカイブ, #切り抜き, #にじさんじ, #ゲーム, #実況",雑談,2024-04-04T09:00:34Z,PT58S
yV1G0wgJRxk,格闘ゲーム化！？星5★キャラ白雪巴 #shorts #vtuber #varkshorts #にじさんじ #白雪巴  #3d #エイプリルフール,"#shorts, #vtuber, #varkshorts, #にじさんじ, #白雪巴, #3d, #エイプリルフール","企画, 3D",2024-04-01T04:59:20Z,PT15S
B4KLHIBGFkM,新衣装「スーツ」お披露目♥先生って呼んでくれてもいいわよ…？ #shorts #vtuber #にじさんじ #白雪巴 #新衣装 【白雪 巴/にじさんじ】,"#shorts, #vtuber, #にじさんじ, #白雪巴, #新衣装","お披露目, 新衣装",2024-03-31T03:00:05Z,PT1M
eQx5WhXIFuU,【#白雪巴新衣装】4月からVtuberに転職する白雪巴です（ｷﾘｯ【白雪 巴/にじさんじ】,#白雪巴新衣装,"お披露目, 新衣装",2024-03-30T14:42:05Z,PT2H32M34S
WZMHUhbpH9E,友人と宿泊したホテルが○○○○だった白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, 体験談",2024-03-26T09:00:25Z,PT48S
Tx8Rug2FCQY,【#ガチ百合】本当にあったリアル百合エピソード＃６【白雪 巴/にじさんじ】,#ガチ百合,百合,2024-03-21T14:47:22Z,PT1H40M31S
xoFSN8r4JC8,ぶっちゃけデビューの時にキャラ作りを考えていた白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-03-18T09:00:45Z,PT1M
O0OvU-0f2TQ,【お悩み相談 #FREE編01】人間関係/メンタル/性別/推し活etc...周りにも言えない悩み事、白雪が聞きますっ！【白雪 巴/にじさんじ】,#FREE編01,"雑談, お悩み相談",2024-03-15T14:47:56Z,PT1H39M3S
FuUXRnBQXr0,ホワイトデーのお返しにペット化してしまう白雪巴 #shorts #vtuber #varkshorts #にじさんじ #白雪巴  #3d,"#shorts, #vtuber, #varkshorts, #にじさんじ, #白雪巴, #3d","雑談, フリートーク",2024-03-14T09:00:10Z,PT11S
UuVpa-ifPt8,８１ガン見の方法を解説するすけべお姉さん #shorts #vtuber #切り抜き #にじさんじ #白雪巴  #お悩み相談,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #お悩み相談","雑談, お悩み相談",2024-03-12T09:00:18Z,PT1M
a5AJiFyWb5g,逃げちゃだーめ #shorts #vtuber #varkshorts #にじさんじ #白雪巴  #3d,"#shorts, #vtuber, #varkshorts, #にじさんじ, #白雪巴, #3d","お披露目, 3D",2024-03-11T09:00:01Z,PT8S
RMPYfoizaNY,【お悩み相談 #学生編01】友達付き合い/学校が合わない/楽しく過ごすにはetc...周りにも言えない悩み事、白雪が聞きますっ！【白雪 巴/にじさんじ】,#学生編01,"雑談, お悩み相談",2024-03-08T14:42:01Z,PT1H32M24S
3s2n8lTAuyw,純粋で可愛い後輩に勝手に翻弄される白雪巴 #shorts #vtuber #切り抜き #にじさんじ #マイクラ,"#shorts, #vtuber, #切り抜き, #にじさんじ, #マイクラ","ゲーム実況, Minecraft",2024-03-07T09:00:04Z,PT53S
aGklONoWXTI,目前のリアル百合JKに悶える白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴",百合,2024-03-04T09:00:00Z,PT44S
Xh8cOfJNn8o,【#ガチ百合】本当にあったリアル百合エピソード＃５【白雪 巴/にじさんじ】,#ガチ百合,百合,2024-03-03T14:22:58Z,PT1H16M8S
HLZiy2vzCNY,【お悩み相談 #人生編01】生きる意味/苦手への対処/コミュ障etc...周りにも言えない悩み事、白雪が聞きますっ！【白雪 巴/にじさんじ】,#人生編01,"雑談, お悩み相談",2024-03-01T14:34:09Z,PT1H26M26S
fK4lFCBMptk,二重人格…！？天使と悪魔に翻弄される白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-02-26T09:00:33Z,PT1M
fI-2TAQg7ns,#君の可愛いがバレませんように を嫉妬しながら踊ってみた #shorts #vtuber #3d #白雪巴 #にじさんじ,"#君の可愛いがバレませんように, #shorts, #vtuber, #3d, #白雪巴, #にじさんじ",企画,2024-02-25T09:00:23Z,PT23S
qUFZXdWHyUs,沖縄旅行で●キロ太った白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴 #沖縄,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #沖縄","雑談, 体験談",2024-02-24T09:00:41Z,PT54S
